RI,QA-check,Color-check,Purity-Level,Depth-percentage,Width-of-iron-top-width,Axis-x,Axis-y,Axis-z,Price-in-dollars,ID
1.01,Premium,H,SI2,60.9,59.0,6.42,6.35,3.89,3394,uid_20055
0.66,Very Good,D,VVS2,60.7,59.0,5.6,5.67,3.42,4311,uid_10433
1.5,Fair,J,VS2,64.5,59.0,7.2,7.07,4.6,5846,uid_48526
0.3,Very Good,G,IF,61.4,58.0,4.27,4.33,2.64,774,uid_2329
1.0,Good,H,SI2,63.8,57.0,6.32,6.28,4.02,3640,uid_421
0.56,Ideal,E,VVS2,60.9,56.0,5.4,5.33,3.27,2696,uid_21330
0.42,Ideal,F,VS1,61.3,57.0,4.85,4.8,2.96,1103,uid_36280
1.0,Premium,I,SI2,62.5,56.0,6.38,6.3,3.96,3780,uid_34875
0.42,Ideal,F,VS1,61.9,57.0,4.79,4.81,2.97,1031,uid_24706
0.8,Premium,E,SI1,61.2,60.0,5.97,5.95,3.65,2912,uid_28993
0.4,Ideal,E,VS2,62.2,55.0,4.71,4.77,2.95,1090,uid_21984
1.02,Ideal,E,SI1,61.9,55.0,6.46,6.49,4.01,5702,uid_20853
0.9,Very Good,E,SI2,58.7,63.0,6.23,6.2,3.65,2930,uid_48263
1.0,Good,G,VS2,59.1,62.0,6.42,6.45,3.8,6369,uid_24452
1.25,Premium,J,VS2,62.2,59.0,6.88,6.86,4.27,5396,uid_38753
0.25,Very Good,E,VS2,59.7,61.0,4.08,4.1,2.44,409,uid_36975
0.34,Good,E,SI1,60.5,60.1,4.5,4.53,2.73,641,uid_16897
1.51,Fair,G,VS1,64.9,55.0,7.25,7.14,4.67,11739,uid_22427
0.9,Fair,F,VS2,65.7,57.0,6.03,5.99,3.95,3750,uid_33335
1.0,Very Good,E,IF,62.5,55.0,6.28,6.39,3.96,11214,uid_29479
0.51,Very Good,D,SI2,62.8,57.0,5.1,5.12,3.21,1264,uid_43664
1.5,Fair,J,SI1,64.9,58.0,7.09,7.03,4.58,6006,uid_11033
0.32,Very Good,D,VVS2,61.1,59.0,4.39,4.42,2.69,804,uid_18708
0.77,Ideal,D,VVS2,62.3,57.0,5.83,5.85,3.64,5207,uid_26669
0.5,Ideal,F,SI2,60.9,57.0,5.15,5.1,3.12,1094,uid_38178
0.31,Very Good,G,SI1,63.0,58.0,4.3,4.34,2.72,462,uid_48056
0.4,Good,I,VVS1,63.9,56.0,4.68,4.64,2.98,1080,uid_34383
0.7,Fair,H,VS1,59.6,66.0,5.8,5.74,3.44,2395,uid_19336
1.01,Very Good,I,SI1,62.9,58.0,6.36,6.4,4.01,4759,uid_15363
0.34,Very Good,D,SI1,59.6,61.0,4.5,4.53,2.69,626,uid_28343
0.41,Ideal,D,SI1,61.0,57.0,4.78,4.8,2.92,791,uid_38234
0.5,Ideal,G,VVS2,62.8,57.0,5.07,5.05,3.18,1858,uid_15746
1.18,Ideal,G,VVS1,61.1,57.0,6.78,6.84,4.16,9095,uid_4262
0.7,Premium,D,VS1,60.9,60.0,5.75,5.71,3.49,3183,uid_6679
0.88,Fair,I,VS2,57.4,67.0,6.49,6.36,3.69,2550,uid_20303
1.13,Ideal,G,VVS1,61.2,57.0,6.65,6.72,4.09,9049,uid_12222
1.03,Ideal,G,VVS2,61.6,57.0,6.48,6.51,4.0,7876,uid_41640
1.02,Ideal,G,VS1,61.1,56.0,6.51,6.54,3.99,7077,uid_33545
1.21,Very Good,H,SI1,60.4,58.0,6.91,6.96,4.19,6892,uid_4667
1.51,Good,I,SI1,63.9,59.0,7.26,7.18,4.61,9234,uid_3041
2.0,Good,I,SI1,63.0,61.0,7.93,7.97,5.01,15072,uid_34707
1.05,Premium,F,SI2,62.6,59.0,6.47,6.43,4.04,4557,uid_11540
0.9,Premium,F,SI2,58.5,60.0,6.3,6.25,3.67,2681,uid_52711
1.02,Premium,D,SI2,62.3,58.0,6.42,6.37,3.99,4044,uid_37733
1.01,Premium,D,SI1,62.6,58.0,6.33,6.44,4.0,5443,uid_21903
1.08,Very Good,G,VVS2,63.1,56.0,6.58,6.51,4.13,7862,uid_8119
0.32,Very Good,E,VS2,60.5,58.0,4.4,4.42,2.67,561,uid_14073
1.0,Ideal,E,VS2,62.0,55.0,6.42,6.38,3.97,6043,uid_6448
0.9,Premium,H,VS1,61.5,59.0,6.19,6.13,3.79,4064,uid_2733
1.12,Good,F,VS2,63.8,57.0,6.59,6.61,4.21,6925,uid_29460
0.31,Very Good,D,SI1,61.7,59.0,4.31,4.35,2.67,571,uid_14869
0.61,Ideal,G,VS1,61.5,56.0,5.48,5.5,3.38,2182,uid_29187
0.52,Premium,D,SI1,61.5,55.0,5.21,5.19,3.2,1651,uid_11936
1.19,Premium,H,SI1,60.8,59.0,6.87,6.84,4.17,5698,uid_2196
1.51,Good,G,VVS2,63.8,59.0,7.28,7.24,4.63,13275,uid_38534
1.0,Premium,H,VVS2,60.3,59.0,6.46,6.41,3.88,6037,uid_28499
0.27,Ideal,E,VS2,62.7,55.0,4.15,4.18,2.61,470,uid_26883
0.51,Ideal,G,VVS2,61.8,56.0,5.1,5.16,3.17,1875,uid_28575
1.01,Very Good,H,VS2,62.5,57.0,6.37,6.44,4.0,4821,uid_44080
0.3,Good,D,VS1,61.7,62.0,4.18,4.21,2.59,632,uid_12342
0.9,Fair,F,SI2,69.0,59.0,5.89,5.82,4.04,2536,uid_19386
0.7,Very Good,G,SI2,59.0,62.0,5.79,5.81,3.42,2872,uid_43093
1.24,Premium,I,VS2,60.1,59.0,7.02,6.95,4.2,5889,uid_38981
0.4,Very Good,E,SI2,62.1,60.0,4.65,4.69,2.9,644,uid_10780
0.63,Ideal,F,SI1,59.9,59.0,5.59,5.63,3.36,1932,uid_3645
0.53,Ideal,I,SI1,61.5,54.0,5.22,5.26,3.22,1038,uid_34685
0.59,Good,J,IF,63.7,59.0,5.3,5.28,3.37,2053,uid_22609
0.39,Premium,D,VS2,61.4,60.0,4.72,4.7,2.89,1024,uid_10189
0.71,Very Good,D,SI1,63.3,59.0,5.55,5.66,3.55,2525,uid_39421
0.31,Ideal,F,VS1,61.5,54.0,4.36,4.39,2.69,642,uid_41173
1.17,Ideal,H,VS2,62.4,58.0,6.73,6.71,4.19,6558,uid_5234
1.32,Very Good,I,SI1,62.1,57.0,6.99,7.09,4.37,6810,uid_37427
0.3,Ideal,I,VS1,62.4,54.0,4.3,4.32,2.69,491,uid_30731
1.26,Ideal,I,SI2,59.6,57.0,7.04,7.01,4.19,4704,uid_51610
0.36,Ideal,H,IF,60.6,56.0,4.64,4.66,2.82,980,uid_22564
0.31,Ideal,I,SI2,61.0,56.0,4.39,4.43,2.69,379,uid_33473
0.7,Very Good,I,VS1,61.4,57.0,5.72,5.74,3.52,2294,uid_18931
0.3,Premium,E,VS2,61.9,59.0,4.29,4.33,2.67,658,uid_44927
0.5,Very Good,G,VS1,62.9,55.0,5.06,5.09,3.19,1592,uid_2787
2.31,Premium,I,SI2,62.9,58.0,8.43,8.34,5.27,17218,uid_3920
1.03,Premium,G,I1,60.8,57.0,6.55,6.51,3.97,3073,uid_18529
0.71,Ideal,F,VS1,60.9,57.0,5.76,5.78,3.51,3710,uid_30522
0.32,Ideal,E,VVS2,61.4,54.0,4.44,4.45,2.73,843,uid_8745
0.32,Ideal,G,SI2,61.3,56.0,4.44,4.47,2.73,407,uid_13978
0.32,Very Good,G,VVS2,61.5,54.0,4.4,4.42,2.71,672,uid_14016
0.51,Ideal,G,VVS1,62.3,55.0,5.14,5.1,3.19,2111,uid_32161
1.58,Ideal,F,SI1,61.9,55.0,7.52,7.47,4.64,14495,uid_10247
0.54,Premium,H,VS2,61.6,58.0,5.24,5.22,3.22,1389,uid_25749
1.52,Premium,I,SI1,60.5,60.0,7.48,7.4,4.5,8852,uid_21816
0.9,Good,G,SI1,63.9,60.0,6.07,6.1,3.89,3574,uid_35300
0.31,Premium,H,VVS2,61.9,58.0,4.33,4.3,2.67,802,uid_10579
0.62,Ideal,G,VVS2,61.6,56.0,5.45,5.48,3.37,2861,uid_36602
1.03,Ideal,J,SI1,62.6,57.0,6.45,6.43,4.03,3922,uid_47788
0.5,Ideal,H,SI1,62.1,58.0,5.04,5.07,3.14,1140,uid_51946
1.95,Premium,H,I1,60.3,59.0,8.1,8.05,4.87,5045,uid_19423
0.7,Very Good,E,SI1,58.7,60.0,5.85,5.88,3.44,2239,uid_35842
0.41,Very Good,D,SI1,63.2,58.0,4.77,4.72,3.0,947,uid_34015
1.5,Ideal,F,SI2,62.9,55.0,7.28,7.26,4.57,9996,uid_40164
0.4,Ideal,J,VS1,61.5,58.0,4.73,4.76,2.92,633,uid_41075
0.36,Ideal,D,SI1,61.6,56.0,4.59,4.6,2.83,801,uid_19875
0.53,Premium,G,VVS2,60.8,58.0,5.25,5.18,3.17,1914,uid_34362
0.79,Ideal,G,SI1,60.3,60.0,5.98,6.02,3.62,2907,uid_48596
0.7,Ideal,G,VVS2,59.9,58.0,5.78,5.8,3.47,3234,uid_46638
1.02,Premium,E,SI1,61.5,58.0,6.51,6.46,3.99,5278,uid_49118
0.34,Ideal,E,VS2,62.5,55.0,4.5,4.46,2.8,956,uid_48875
0.95,Premium,J,VVS2,62.6,59.0,6.23,6.26,3.91,3669,uid_39522
1.18,Premium,G,SI2,62.5,54.0,6.81,6.78,4.25,5190,uid_38278
1.24,Premium,F,VS1,58.0,58.0,7.16,7.02,4.11,9930,uid_21666
0.71,Very Good,H,VS1,62.8,59.0,5.61,5.7,3.55,2428,uid_41420
0.9,Premium,G,SI1,61.0,60.0,6.17,6.12,3.75,3879,uid_46527
1.67,Ideal,F,SI2,62.4,54.0,7.6,7.63,4.75,11341,uid_19671
0.75,Very Good,F,VS1,60.9,59.0,5.83,5.87,3.56,3220,uid_41489
1.02,Very Good,G,VVS2,63.1,59.0,6.45,6.38,4.05,7942,uid_40019
0.3,Good,G,VS1,63.6,55.0,4.29,4.26,2.72,776,uid_27603
0.61,Good,E,SI2,63.1,56.0,5.4,5.44,3.42,1408,uid_35952
0.3,Very Good,J,VS1,62.7,59.0,4.24,4.28,2.67,394,uid_19862
1.02,Ideal,G,SI1,62.1,55.0,6.46,6.49,4.02,5426,uid_32066
0.3,Ideal,D,VS2,62.3,56.0,4.29,4.32,2.68,710,uid_50836
0.54,Ideal,G,VVS1,62.2,56.0,5.22,5.2,3.24,2236,uid_48680
0.41,Premium,F,VS1,60.8,58.0,4.82,4.76,2.91,1076,uid_37921
0.54,Ideal,H,VVS1,61.7,57.0,5.24,5.23,3.23,1944,uid_40804
1.55,Premium,H,VS2,60.4,60.0,7.44,7.39,4.48,11149,uid_14317
1.15,Ideal,H,SI2,62.6,55.0,6.74,6.65,4.19,4572,uid_16044
0.33,Ideal,G,VS1,62.1,55.0,4.46,4.43,2.76,854,uid_33330
0.91,Premium,F,VS2,62.2,58.0,6.21,6.17,3.85,4892,uid_28163
0.7,Ideal,G,VVS1,62.8,57.0,5.63,5.68,3.55,3165,uid_15604
0.51,Very Good,E,SI1,61.4,58.0,5.09,5.14,3.14,1284,uid_3946
1.71,Very Good,H,VVS2,61.2,62.0,7.59,7.65,4.66,14893,uid_13834
0.2,Premium,D,VS2,62.3,60.0,3.73,3.68,2.31,367,uid_36907
2.14,Good,I,SI2,63.8,57.0,8.17,8.14,5.2,14452,uid_5544
0.91,Very Good,F,SI1,62.3,60.0,6.08,6.15,3.81,4049,uid_33177
1.51,Good,F,VS2,61.0,63.0,7.32,7.39,4.49,13010,uid_25326
0.38,Ideal,E,VS1,61.6,56.0,4.62,4.66,2.86,1000,uid_40975
0.7,Premium,F,VS2,60.9,61.0,5.71,5.66,3.46,2838,uid_18299
0.3,Good,H,SI1,63.8,55.0,4.2,4.26,2.7,432,uid_31986
0.4,Good,I,SI1,63.2,55.0,4.68,4.72,2.97,596,uid_11151
0.71,Premium,H,VS1,61.2,57.0,5.83,5.77,3.55,2572,uid_11822
0.66,Ideal,F,VVS2,61.2,57.0,5.63,5.58,3.43,2732,uid_45008
1.57,Very Good,J,VS2,62.6,60.0,7.34,7.41,4.62,7813,uid_33424
0.74,Very Good,H,VS1,62.3,56.0,5.75,5.78,3.59,2956,uid_31711
1.01,Premium,G,VS2,59.8,61.0,6.53,6.44,3.88,5620,uid_26991
0.5,Good,E,SI2,63.2,61.0,5.02,5.05,3.18,1000,uid_49752
0.37,Premium,H,VVS2,61.3,58.0,4.6,4.63,2.83,746,uid_45567
0.91,Fair,H,SI1,65.8,58.0,6.04,6.01,3.96,2854,uid_32379
0.63,Ideal,G,SI1,62.3,58.0,5.44,5.48,3.4,1711,uid_42917
0.31,Premium,E,VVS2,61.4,60.0,4.36,4.34,2.67,1046,uid_39573
1.11,Ideal,G,VS2,61.2,56.0,6.65,6.68,4.08,6857,uid_53816
0.35,Premium,F,VS1,60.7,58.0,4.58,4.54,2.77,984,uid_5707
0.74,Ideal,I,VS1,62.1,56.0,5.75,5.82,3.59,2440,uid_4084
1.01,Good,E,SI1,63.6,60.0,6.32,6.38,4.04,5132,uid_36456
0.33,Ideal,F,VS2,62.6,55.0,4.42,4.4,2.76,854,uid_17153
0.3,Ideal,F,VS2,61.4,57.0,4.36,4.34,2.67,776,uid_31025
0.45,Ideal,G,IF,61.0,57.0,4.96,5.0,3.04,1377,uid_29338
1.01,Very Good,I,SI1,63.2,54.0,6.41,6.35,4.03,4525,uid_11948
1.01,Premium,G,VS1,62.4,59.0,6.38,6.35,3.97,6163,uid_37219
0.8,Ideal,D,VS2,61.0,57.0,5.96,6.0,3.65,4170,uid_49852
2.02,Premium,I,VS2,62.9,59.0,8.03,7.93,5.02,15808,uid_40217
0.76,Ideal,E,VS1,60.5,56.0,5.94,5.99,3.61,3649,uid_20193
0.38,Good,D,VS1,63.4,55.0,4.61,4.64,2.93,853,uid_14679
0.28,Ideal,H,VS2,61.9,55.0,4.2,4.23,2.61,467,uid_21396
0.74,Premium,E,SI2,59.0,55.0,6.03,5.94,3.53,2447,uid_26813
0.69,Premium,H,VS2,60.8,59.0,5.77,5.74,3.5,1863,uid_15904
0.47,Premium,G,VS2,61.8,60.0,4.98,4.95,3.07,1102,uid_51940
1.21,Ideal,H,VS2,62.6,55.0,6.84,6.78,4.26,7562,uid_17584
1.01,Premium,F,VS1,58.8,60.0,6.59,6.51,3.85,7862,uid_29967
1.06,Premium,G,VS2,60.1,58.0,6.67,6.64,4.0,6325,uid_16728
0.71,Premium,H,SI2,62.7,57.0,5.71,5.64,3.56,2231,uid_10003
1.0,Ideal,G,SI1,63.0,55.0,6.42,6.41,4.04,5096,uid_40328
0.31,Ideal,H,VVS1,62.7,54.0,4.33,4.38,2.73,707,uid_48160
1.04,Ideal,I,VS2,61.5,57.0,6.49,6.52,4.0,5105,uid_26782
0.7,Ideal,E,VS1,62.6,55.0,5.66,5.69,3.55,3167,uid_30115
1.02,Ideal,E,SI2,62.1,55.0,6.51,6.4,4.01,4798,uid_36450
0.33,Premium,E,VS2,61.5,59.0,4.42,4.46,2.73,723,uid_27580
1.66,Very Good,I,SI1,63.0,57.0,7.45,7.5,4.71,8901,uid_30762
0.72,Ideal,D,VS1,61.4,56.0,5.8,5.82,3.57,3622,uid_6725
0.7,Very Good,D,SI1,60.3,60.0,5.74,5.77,3.47,2656,uid_11068
1.1,Ideal,H,VS2,62.6,57.0,6.61,6.56,4.12,4048,uid_21893
1.57,Premium,I,SI2,60.9,58.0,7.53,7.51,4.58,7484,uid_16470
0.33,Premium,I,VS1,59.5,60.0,4.54,4.5,2.69,668,uid_38332
0.3,Very Good,G,SI1,61.0,58.0,4.3,4.32,2.63,432,uid_8823
2.01,Premium,D,SI2,61.8,59.0,8.15,8.07,5.01,17235,uid_44852
0.7,Ideal,J,SI1,60.4,56.0,5.71,5.74,3.46,1926,uid_4126
1.05,Very Good,G,SI1,59.1,57.0,6.63,6.73,3.95,4429,uid_30843
0.25,Very Good,E,VVS1,62.3,55.0,4.04,4.06,2.52,633,uid_41561
0.31,Ideal,G,VVS2,61.7,54.0,4.34,4.38,2.69,707,uid_44177
1.01,Ideal,F,SI1,62.7,54.0,6.38,6.44,4.02,6039,uid_19630
0.56,Ideal,D,SI1,61.2,56.0,5.31,5.34,3.26,1723,uid_53468
0.41,Very Good,E,SI1,61.1,62.0,4.76,4.83,2.93,705,uid_50496
0.32,Ideal,F,IF,61.2,57.0,4.4,4.42,2.7,949,uid_1945
0.91,Good,I,SI1,64.0,58.0,6.01,5.99,3.84,2348,uid_48972
1.21,Very Good,H,VS1,62.8,54.4,6.78,6.81,4.26,7786,uid_40428
0.52,Ideal,E,SI1,61.0,55.0,5.19,5.23,3.18,1586,uid_13771
0.3,Premium,I,SI1,60.9,59.0,4.34,4.36,2.65,394,uid_53192
1.01,Ideal,G,SI1,62.2,55.0,6.44,6.46,4.01,5166,uid_38885
0.41,Premium,G,SI1,60.3,59.0,4.79,4.76,2.88,923,uid_48138
0.51,Ideal,F,VVS2,62.2,56.0,5.12,5.08,3.17,2203,uid_19110
0.25,Very Good,D,VVS1,63.8,54.0,3.94,3.99,2.53,533,uid_7464
0.3,Ideal,H,VS2,61.4,55.0,4.34,4.36,2.67,491,uid_32461
0.34,Very Good,G,VS2,61.2,62.0,4.44,4.48,2.73,596,uid_10902
1.74,Ideal,H,VS2,61.5,55.0,7.79,7.73,4.77,13761,uid_45947
0.4,Good,J,VS1,63.5,56.0,4.69,4.7,2.98,589,uid_31573
1.2,Ideal,I,VS2,63.2,59.0,6.73,6.68,4.24,5699,uid_52501
2.04,Premium,H,SI1,63.0,58.0,8.1,8.03,5.08,18115,uid_25737
0.42,Ideal,I,VVS1,62.7,55.0,4.8,4.77,3.0,945,uid_1403
2.01,Very Good,I,SI2,59.5,58.0,8.18,8.21,4.88,13669,uid_37650
0.97,Ideal,F,I1,60.7,56.0,6.43,6.41,3.9,2856,uid_11058
0.4,Premium,F,VVS1,60.2,59.0,4.74,4.76,2.86,1263,uid_37146
0.41,Premium,I,VVS2,62.9,58.0,4.74,4.71,2.97,1061,uid_2713
1.5,Premium,G,SI1,62.7,58.0,7.28,7.23,4.55,10087,uid_43302
1.01,Good,E,VS1,63.6,57.0,6.41,6.35,4.06,7665,uid_3493
1.01,Premium,G,SI2,62.4,58.0,6.41,6.38,3.99,4442,uid_11282
0.34,Good,G,SI1,63.9,58.0,4.43,4.4,2.82,650,uid_19057
0.59,Very Good,H,VS2,61.8,56.0,5.37,5.41,3.33,1552,uid_46697
0.56,Ideal,D,VS2,61.1,56.0,5.33,5.3,3.25,2066,uid_36238
0.91,Very Good,F,SI1,60.1,58.0,6.3,6.35,3.8,3879,uid_19570
1.0,Premium,F,SI1,62.0,60.0,6.42,6.36,3.96,5574,uid_15367
0.31,Ideal,F,VVS2,61.2,56.0,4.37,4.39,2.68,761,uid_2057
0.73,Ideal,I,VVS2,63.3,57.0,5.77,5.73,3.64,2485,uid_10983
0.37,Premium,J,VS2,60.7,60.0,4.68,4.65,2.83,583,uid_28273
0.38,Ideal,F,VVS1,62.0,54.7,4.62,4.67,2.88,1101,uid_43447
0.3,Ideal,E,VS1,62.5,54.0,4.27,4.32,2.69,703,uid_26003
1.2,Premium,H,SI1,61.8,58.0,6.8,6.72,4.18,5669,uid_40843
1.03,Premium,G,VS1,62.2,59.0,6.46,6.41,4.0,6749,uid_41560
0.3,Very Good,F,VVS2,62.4,58.0,4.25,4.28,2.66,737,uid_20757
1.15,Ideal,G,VS2,62.2,54.0,6.74,6.65,4.17,5008,uid_51252
1.03,Ideal,D,SI2,61.8,56.0,6.51,6.46,4.01,4764,uid_43753
1.23,Premium,I,SI2,62.1,59.0,6.83,6.79,4.23,4773,uid_31969
0.74,Premium,G,VVS1,61.2,59.0,5.84,5.79,3.56,3145,uid_34594
0.7,Fair,F,SI2,58.2,66.0,5.77,5.74,3.35,1920,uid_36312
0.5,Good,D,VS2,64.1,61.0,4.98,5.01,3.2,1402,uid_50577
1.72,Premium,H,SI2,59.8,59.0,7.77,7.74,4.64,10749,uid_45427
2.02,Very Good,G,SI2,63.1,57.0,8.01,7.97,5.04,12094,uid_29499
1.27,Ideal,F,VS2,61.0,59.0,6.96,6.98,4.25,9547,uid_16131
1.2,Premium,E,VS2,62.2,59.0,6.82,6.78,4.23,8602,uid_38740
0.34,Premium,I,VS1,59.5,59.0,4.59,4.55,2.72,689,uid_16330
1.15,Fair,G,VS1,64.6,57.0,6.6,6.5,4.23,6530,uid_14092
1.13,Premium,G,VVS2,61.4,58.0,6.73,6.68,4.12,8019,uid_2720
2.06,Ideal,I,VS2,59.2,57.0,8.39,8.29,4.94,15691,uid_28333
0.94,Premium,E,SI2,62.4,58.0,6.33,6.26,3.93,4027,uid_36876
0.31,Ideal,D,SI1,61.0,57.0,4.41,4.38,2.68,732,uid_36865
0.3,Ideal,E,VS1,61.7,57.0,4.31,4.28,2.65,911,uid_42847
1.0,Good,D,SI1,64.3,62.0,6.18,6.13,3.96,4312,uid_1186
1.06,Ideal,G,SI2,62.3,55.0,6.54,6.49,4.06,3936,uid_20282
0.31,Ideal,H,SI1,61.4,55.0,4.44,4.36,2.7,573,uid_48242
0.71,Ideal,G,VS2,62.1,57.0,5.71,5.63,3.52,2587,uid_27075
1.2,Very Good,F,SI2,63.3,59.0,6.7,6.66,4.23,4274,uid_16291
1.01,Very Good,F,SI1,63.5,59.0,6.38,6.29,4.02,4989,uid_26156
0.4,Ideal,F,SI2,62.1,54.0,4.75,4.78,2.96,677,uid_4184
1.17,Ideal,F,SI1,63.0,54.0,6.71,6.66,4.21,5032,uid_27442
0.38,Premium,F,SI2,61.0,61.0,4.67,4.61,2.83,770,uid_52542
0.3,Premium,G,VS1,62.8,58.0,4.28,4.26,2.68,776,uid_14838
1.64,Premium,F,SI1,62.8,59.0,7.53,7.51,4.72,12670,uid_40803
1.01,Premium,F,SI2,62.2,59.0,6.38,6.42,3.98,4416,uid_4275
0.3,Premium,E,VS2,62.6,62.0,4.25,4.21,2.65,788,uid_5601
1.03,Good,J,VS2,63.7,56.0,6.42,6.35,4.07,3795,uid_41883
1.14,Very Good,E,IF,63.3,57.0,6.63,6.71,4.22,12647,uid_30508
1.01,Very Good,G,VS1,63.2,61.0,6.35,6.33,4.01,6529,uid_24256
1.5,Good,G,SI2,63.6,58.0,7.19,7.09,4.54,6552,uid_21908
1.0,Very Good,D,SI2,63.2,57.0,6.24,6.32,3.97,4628,uid_40765
0.3,Ideal,D,SI1,62.2,55.0,4.33,4.29,2.68,709,uid_24171
0.3,Ideal,G,IF,63.0,53.0,4.3,4.24,2.69,956,uid_14916
0.31,Premium,H,VS2,62.4,59.0,4.34,4.31,2.7,628,uid_53023
0.71,Premium,G,SI1,62.0,60.0,5.68,5.64,3.51,2388,uid_46589
1.15,Ideal,E,SI1,60.2,57.0,6.8,6.77,4.09,6517,uid_27412
1.01,Premium,F,SI2,61.8,56.0,6.43,6.38,3.96,4257,uid_1324
1.54,Fair,I,SI2,64.6,56.0,7.3,7.26,4.7,7727,uid_52423
0.58,Fair,G,VS1,64.7,60.0,5.23,5.28,3.41,1701,uid_33552
0.27,Very Good,G,VVS1,62.5,56.0,4.14,4.16,2.59,566,uid_24041
2.01,Ideal,G,SI2,61.5,55.0,8.15,8.11,5.0,11602,uid_43657
1.55,Ideal,H,VS1,62.0,57.0,7.37,7.43,4.59,13665,uid_13399
0.25,Very Good,G,VVS1,61.8,57.0,4.04,4.07,2.5,525,uid_44868
1.0,Very Good,E,SI1,61.2,60.0,6.39,6.42,3.92,5351,uid_43348
1.22,Very Good,G,SI1,62.4,57.0,6.75,6.8,4.23,6704,uid_15092
0.23,Good,D,VVS1,60.3,66.0,3.91,3.95,2.37,425,uid_2423
0.32,Ideal,H,VS2,61.7,57.0,4.38,4.4,2.71,529,uid_17028
1.0,Very Good,E,VS2,63.5,56.0,6.37,6.32,4.03,5633,uid_4876
1.13,Premium,H,SI1,62.3,58.0,6.67,6.68,4.16,5101,uid_23279
1.16,Ideal,G,VVS1,60.5,57.0,6.78,6.83,4.12,9075,uid_19979
0.55,Premium,D,SI1,61.6,56.0,5.28,5.24,3.24,1698,uid_50360
0.8,Very Good,I,VS2,63.3,55.0,5.88,5.93,3.74,2414,uid_35311
0.99,Very Good,G,SI1,62.8,56.0,6.34,6.36,3.99,4863,uid_17646
0.47,Ideal,G,VVS1,61.3,56.0,5.03,5.05,3.09,1441,uid_49270
0.71,Very Good,G,VS1,60.8,63.0,5.76,5.68,3.48,2982,uid_11682
0.32,Ideal,I,VVS1,61.7,55.0,4.4,4.39,2.71,756,uid_52661
0.7,Ideal,H,SI1,62.1,56.0,5.74,5.67,3.54,2113,uid_34154
0.32,Ideal,G,VS1,61.3,55.0,4.45,4.43,2.72,707,uid_29343
0.26,Ideal,D,VVS2,61.4,55.0,4.1,4.17,2.54,777,uid_48666
0.3,Ideal,H,SI1,61.7,56.0,4.33,4.35,2.68,465,uid_24042
0.4,Fair,F,SI1,64.7,58.0,4.67,4.63,3.01,857,uid_25388
0.42,Ideal,E,VS2,62.3,55.0,4.83,4.77,2.99,1024,uid_1705
0.3,Ideal,H,VS1,62.1,57.0,4.27,4.3,2.66,507,uid_51969
0.41,Ideal,F,VS2,62.4,58.0,4.77,4.75,2.97,1085,uid_47605
1.1,Ideal,F,I1,61.3,56.9,6.62,6.68,4.08,3623,uid_23969
0.44,Ideal,E,VVS2,60.7,57.0,4.92,4.9,2.98,1334,uid_9135
1.07,Ideal,G,SI2,62.0,57.0,6.58,6.55,4.07,4401,uid_51420
0.7,Premium,E,VVS2,62.7,53.0,5.65,5.61,3.53,3007,uid_5198
0.8,Very Good,J,VS1,62.7,58.0,5.91,5.95,3.72,2487,uid_43066
1.12,Premium,F,VVS2,62.4,59.0,6.66,6.58,4.13,10211,uid_11193
1.02,Very Good,G,VS2,60.5,60.0,6.53,6.49,3.94,6906,uid_18995
0.82,Premium,F,VS1,62.1,56.0,6.02,5.97,3.72,3513,uid_40108
0.35,Very Good,D,SI1,60.2,57.0,4.56,4.61,2.76,644,uid_26175
0.53,Good,E,SI1,57.8,57.0,5.33,5.29,3.07,1328,uid_19341
0.31,Ideal,E,SI1,62.7,54.0,4.35,4.36,2.73,544,uid_46326
0.41,Premium,G,SI1,62.6,59.0,4.72,4.77,2.97,719,uid_17891
0.51,Very Good,G,VVS1,63.2,59.0,5.04,5.09,3.2,1871,uid_26155
0.7,Very Good,E,SI1,59.1,62.0,5.74,5.8,3.41,2569,uid_25725
0.51,Ideal,E,VS2,61.9,56.0,5.16,5.12,3.18,1781,uid_11586
1.06,Ideal,F,SI2,61.8,56.0,6.56,6.51,4.04,5354,uid_14375
0.6,Ideal,F,VVS2,62.0,55.0,5.37,5.4,3.34,2822,uid_36077
1.16,Premium,E,VS1,58.7,58.0,6.89,6.87,4.04,8346,uid_14588
0.7,Ideal,G,SI2,62.6,55.0,5.66,5.69,3.55,2232,uid_41032
1.01,Fair,E,VS2,66.6,55.0,6.27,6.2,4.15,4525,uid_53661
2.01,Good,E,SI2,60.0,64.0,8.17,8.09,4.88,16733,uid_41318
0.56,Ideal,F,VS1,62.1,56.0,5.32,5.28,3.29,2097,uid_36735
0.61,Very Good,I,VS2,62.4,57.0,5.4,5.43,3.38,1572,uid_49034
0.73,Fair,E,SI1,64.6,59.0,5.69,5.64,3.66,2317,uid_4948
2.01,Premium,I,VS2,62.7,58.0,7.98,7.94,4.99,16778,uid_45800
1.58,Premium,I,VS1,61.1,59.0,7.44,7.52,4.57,10428,uid_40298
2.01,Premium,I,VS2,62.1,59.0,8.06,7.98,4.98,15520,uid_27467
0.37,Premium,F,VS2,61.9,58.0,4.54,4.6,2.83,746,uid_43474
2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,17607,uid_10234
